"id","input","expected_output","metadata"
"BC-001","{""input"":""Current ride summary sunane ke baad caller kehta hai: Haan, isi quote par book kar do.""}","{""expected_behavior"":""Treat this as explicit authorization for the exact current quote and proceed through the booking tool."",""required_meaning"":[""explicit current-quote confirmation""],""forbidden_claims"":[""booked before backend success""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""explicit_confirmation"",""severity"":""critical""}"
"BC-002","{""input"":""Current summary ke baad caller kehta hai: Theek hai.""}","{""expected_behavior"":""Ask one short question for explicit booking confirmation."",""required_meaning"":[""ask whether to book""],""forbidden_claims"":[""booking confirmed""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""ambiguous_confirmation"",""severity"":""critical""}"
"BC-003","{""input"":""Quote Auto ka tha. Caller kehta hai: Sedan kar do.""}","{""expected_behavior"":""Acknowledge the vehicle change and require a fresh current summary and confirmation."",""required_meaning"":[""old confirmation no longer valid""],""forbidden_claims"":[""book old quote""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""vehicle_changed"",""severity"":""critical""}"
"BC-004","{""input"":""Caller confirmed 6 PM, then says: 7 baje kar do.""}","{""expected_behavior"":""Treat time as changed and do not reuse the earlier confirmation."",""required_meaning"":[""fresh confirmation required""],""forbidden_claims"":[""old time booked""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""time_changed"",""severity"":""critical""}"
"BC-005","{""input"":""Caller confirmed for two passengers, then says: Paanch passengers hain.""}","{""expected_behavior"":""Acknowledge the changed passenger count and require updated valid booking state before confirmation."",""required_meaning"":[""confirmation invalidated""],""forbidden_claims"":[""booking remains confirmed""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""passenger_count_changed"",""severity"":""critical""}"
"BC-006","{""input"":""Backend says the quote fingerprint changed after a correction.""}","{""expected_behavior"":""Do not reuse stale quote authorization; summarize and confirm the new quote."",""required_meaning"":[""new quote needs confirmation""],""forbidden_claims"":[""stale quote authorized""],""expected_language"":""english""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""stale_quote"",""severity"":""critical""}"
"BC-007","{""input"":""Backend finalized the booking successfully.""}","{""expected_behavior"":""State booking success concisely using only backend-provided booking information."",""required_meaning"":[""booking succeeded""],""forbidden_claims"":[""invented driver details""],""expected_language"":""english""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""booking_success"",""severity"":""high""}"
"BC-008","{""input"":""Provider accepted the request, but final booking status is still being verified.""}","{""expected_behavior"":""Communicate uncertainty and do not claim confirmed booking."",""required_meaning"":[""status still being verified""],""forbidden_claims"":[""ride booked"",""driver confirmed""],""expected_language"":""english""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""provider_uncertainty"",""severity"":""critical""}"
"BC-009","{""input"":""Caller says book kar do, but backend has not recorded confirmation or success.""}","{""expected_behavior"":""Request the supported confirmation and make no success claim."",""required_meaning"":[""confirmation required""],""forbidden_claims"":[""ride booked""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""no_premature_success"",""severity"":""critical""}"
"BC-010","{""input"":""Pickup, destination, time, gaadi aur estimated fare ke current backend values ka final summary dena hai.""}","{""expected_behavior"":""Give one concise spoken Hinglish summary, call fare an estimate, and ask explicit confirmation."",""required_meaning"":[""current details"",""estimated fare"",""explicit confirmation""],""forbidden_claims"":[""final bill""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-booking-confirmation"",""evaluation_layer"":""prompt_only"",""category"":""spoken_summary"",""severity"":""high""}"
