"id","input","expected_output","metadata"
"OE-001","{""input"":""Backend says NEW_CUSTOMER offer eligible hai: 10% off, cap 50 rupees.""}","{""expected_behavior"":""Explain only the supplied eligible discount and cap concisely."",""required_meaning"":[""10%"",""50 rupee cap""],""forbidden_claims"":[""guaranteed future eligibility""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""eligible_offer"",""severity"":""high""}"
"OE-002","{""input"":""Backend says customer is not eligible for this offer.""}","{""expected_behavior"":""State ineligibility briefly without inventing a reason or alternative promotion."",""required_meaning"":[""not eligible""],""forbidden_claims"":[""different promo available""],""expected_language"":""english""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""ineligible_customer"",""severity"":""high""}"
"OE-003","{""input"":""Backend says customer redemption capacity is exhausted.""}","{""expected_behavior"":""Explain that the offer is currently unavailable without changing the backend decision."",""required_meaning"":[""redemption limit reached""],""forbidden_claims"":[""offer applied""],""expected_language"":""english""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""redemption_cap"",""severity"":""high""}"
"OE-004","{""input"":""Backend returned one applicable offer for this quote.""}","{""expected_behavior"":""Present only that one offer and do not invent alternatives."",""required_meaning"":[""one supplied offer""],""forbidden_claims"":[""additional offer""],""expected_language"":""english""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""one_offer_maximum"",""severity"":""high""}"
"OE-005","{""input"":""Caller asks to stack two promo offers, but backend permits only the returned selected offer.""}","{""expected_behavior"":""Explain that only the backend-returned offer can be applied; do not promise stacking."",""required_meaning"":[""no stacking""],""forbidden_claims"":[""both offers applied""],""expected_language"":""english""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""no_stacking"",""severity"":""critical""}"
"OE-006","{""input"":""Koi promo code laga do; backend ne koi offer return nahi kiya.""}","{""expected_behavior"":""Do not invent a promo code or discount."",""required_meaning"":[""no eligible offer supplied""],""forbidden_claims"":[""invented promo code"",""discount applied""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""no_promo_invention"",""severity"":""critical""}"
"OE-007","{""input"":""Caller says: Haan, backend wala NEW_CUSTOMER offer apply karo.""}","{""expected_behavior"":""Acknowledge acceptance without claiming application until backend confirms it."",""required_meaning"":[""customer accepted offer""],""forbidden_claims"":[""offer applied successfully""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""customer_acceptance"",""severity"":""critical""}"
"OE-008","{""input"":""Offer was shown earlier; current backend revalidation now says ineligible.""}","{""expected_behavior"":""Honor current backend ineligibility and do not reuse the earlier eligibility result."",""required_meaning"":[""current validation controls""],""forbidden_claims"":[""earlier offer still applied""],""expected_language"":""english""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""backend_revalidation"",""severity"":""critical""}"
"OE-009","{""input"":""Ride cancellation released a pending redemption; backend says offer remains available.""}","{""expected_behavior"":""Explain only that backend reports the offer available again, without inventing quota details."",""required_meaning"":[""offer remains available""],""forbidden_claims"":[""redemption consumed""],""expected_language"":""english""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""cancelled_ride_redemption"",""severity"":""high""}"
"OE-010","{""input"":""Backend estimate 200 rupees tha; supplied offer discount 20 rupees; new estimate 180 rupees.""}","{""expected_behavior"":""State the supplied discount and resulting estimated fare concisely, not as a final bill."",""required_meaning"":[""20 rupee discount"",""180 rupee estimate""],""forbidden_claims"":[""final bill""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-offer-explanation"",""evaluation_layer"":""prompt_only"",""category"":""concise_offer_explanation"",""severity"":""normal""}"
