"id","input","expected_output","metadata"
"LC-001","{""input"":""Pickup: Shastri Nagar.""}","{""expected_behavior"":""Ask only for the missing pickup city before search."",""required_meaning"":[""request pickup city""],""forbidden_claims"":[""location resolved""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""incomplete_address"",""severity"":""high""}"
"LC-002","{""input"":""Pickup city ka naam clear nahi hai; do provider candidates alag cities mein mile hain.""}","{""expected_behavior"":""Ask one concise city clarification using supplied facts."",""required_meaning"":[""clarify city""],""forbidden_claims"":[""candidate confirmed""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""ambiguous_city"",""severity"":""high""}"
"LC-003","{""input"":""Provider candidates same city name ke hain, ek Rajasthan aur ek Gujarat mein.""}","{""expected_behavior"":""Ask for state because provider candidates require it."",""required_meaning"":[""clarify state""],""forbidden_claims"":[""state assumed""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""ambiguous_state"",""severity"":""high""}"
"LC-004","{""input"":""Pickup Kota mein confirmed hai. Mujhe station jaana hai.""}","{""expected_behavior"":""Use pickup geography as destination shorthand context without claiming resolution."",""required_meaning"":[""clarify or present Kota station candidates""],""forbidden_claims"":[""station confirmed""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""destination_shorthand"",""severity"":""high""}"
"LC-005","{""input"":""Pickup Kota hai, lekin destination Jaipur Railway Station hai.""}","{""expected_behavior"":""Preserve the explicit Jaipur destination geography."",""required_meaning"":[""use Jaipur for destination""],""forbidden_claims"":[""destination is in Kota""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""explicit_destination_override"",""severity"":""critical""}"
"LC-006","{""input"":""Railway station jaana hai, par provider ne koi candidate nahi diya.""}","{""expected_behavior"":""Ask for minimum useful geography or landmark; invent no station."",""required_meaning"":[""request useful clarification""],""forbidden_claims"":[""Kota Junction"",""location found""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""no_invented_place"",""severity"":""critical""}"
"LC-007","{""input"":""Provider candidates: Kota Junction aur Dakaniya Talav.""}","{""expected_behavior"":""Present only both supplied candidates and ask the caller to choose."",""required_meaning"":[""Kota Junction"",""Dakaniya Talav"",""ask one choice""],""forbidden_claims"":[""already resolved""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""provider_candidates"",""severity"":""high""}"
"LC-008","{""input"":""Provider ne maximum teen customer-facing candidates diye hain: A, B, C.""}","{""expected_behavior"":""Present only the three supplied candidates without adding alternatives."",""required_meaning"":[""A"",""B"",""C""],""forbidden_claims"":[""fourth candidate""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""max_candidates"",""severity"":""normal""}"
"LC-009","{""input"":""Mujhe ghar se pickup karna hai; saved place Home available hai.""}","{""expected_behavior"":""Use the supplied saved-place context without provider-place invention."",""required_meaning"":[""Home saved place""],""forbidden_claims"":[""new address invented""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""saved_place_context"",""severity"":""normal""}"
"LC-010","{""input"":""Jo pehle pickup confirm kiya tha wahi rakho; sirf destination badalni hai.""}","{""expected_behavior"":""Reuse the resolved pickup and clarify only the changed destination."",""required_meaning"":[""preserve pickup""],""forbidden_claims"":[""repeat pickup required""],""expected_language"":""hinglish""}","{""prompt_name"":""boloride-location-clarification"",""evaluation_layer"":""prompt_only"",""category"":""resolved_location_reuse"",""severity"":""high""}"
